source,basis,month,dimension,value,records,domain_days,domains_peak,measured_days
afrinic,reverse,2013-04,sha1_signing_ds,sha1,1,1,1,1
afrinic,reverse,2013-05,algorithm_ds,5,1,1,1,1
afrinic,reverse,2013-05,algorithm_ds,8,48,12,12,1
afrinic,reverse,2013-05,algorithm_ds,_total,49,13,13,1
afrinic,reverse,2013-05,all,all,22027,21978,21978,1
afrinic,reverse,2013-05,digest_type_ds,1,25,13,13,1
afrinic,reverse,2013-05,digest_type_ds,2,24,12,12,1
afrinic,reverse,2013-05,digest_type_ds,_total,49,13,13,1
afrinic,reverse,2013-05,rr_type,DS,49,13,13,1
afrinic,reverse,2013-05,rr_type,NS,21978,21978,21978,1
afrinic,reverse,2013-05,rr_type,_total,22027,21978,21978,1
afrinic,reverse,2013-05,sha1_signing_ds,_total,49,13,13,1
afrinic,reverse,2013-05,sha1_signing_ds,other,48,12,12,1
afrinic,reverse,2013-05,sha1_signing_ds,sha1,1,1,1,1
afrinic,reverse,2013-06,algorithm_ds,5,1,1,1,1
afrinic,reverse,2013-06,algorithm_ds,8,48,12,12,1
afrinic,reverse,2013-06,algorithm_ds,_total,49,13,13,1
afrinic,reverse,2013-06,all,all,22374,22325,22325,1
afrinic,reverse,2013-06,digest_type_ds,1,25,13,13,1
afrinic,reverse,2013-06,digest_type_ds,2,24,12,12,1
afrinic,reverse,2013-06,digest_type_ds,_total,49,13,13,1
afrinic,reverse,2013-06,rr_type,DS,49,13,13,1
afrinic,reverse,2013-06,rr_type,NS,22325,22325,22325,1
afrinic,reverse,2013-06,rr_type,_total,22374,22325,22325,1
afrinic,reverse,2013-06,sha1_signing_ds,_total,49,13,13,1
afrinic,reverse,2013-06,sha1_signing_ds,other,48,12,12,1
afrinic,reverse,2013-06,sha1_signing_ds,sha1,1,1,1,1
afrinic,reverse,2013-07,algorithm_ds,5,1,1,1,1
afrinic,reverse,2013-07,algorithm_ds,8,48,12,12,1
afrinic,reverse,2013-07,algorithm_ds,_total,49,13,13,1
afrinic,reverse,2013-07,all,all,22955,22906,22906,1
afrinic,reverse,2013-07,digest_type_ds,1,25,13,13,1
afrinic,reverse,2013-07,digest_type_ds,2,24,12,12,1
afrinic,reverse,2013-07,digest_type_ds,_total,49,13,13,1
