project,version,released,month,in_corpus_span,changes_in_window,window_months,corpus_median_window
knot,2.9.0,2019-10-10,2019-10,True,125,3,229
knot,2.9.1,2019-11-11,2019-11,True,482,3,229
knot,2.9.2,2019-12-12,2019-12,True,538,3,229
knot,2.8.5,2020-01-01,2020-01,True,505,3,229
knot,2.9.3,2020-03-03,2020-03,True,81,3,229
knot,2.9.4,2020-05-05,2020-05,True,361,3,229
knot,2.9.5,2020-05-25,2020-05,True,361,3,229
knot,2.9.6,2020-08-31,2020-08,True,94,3,229
knot,3.0.0,2020-09-09,2020-09,True,176,3,229
knot,2.9.7,2020-10-09,2020-10,True,240,3,229
knot,3.0.1,2020-10-10,2020-10,True,240,3,229
knot,3.0.2,2020-11-11,2020-11,True,371,3,229
knot,2.9.8,2020-12-15,2020-12,True,316,3,229
knot,3.0.3,2020-12-15,2020-12,True,316,3,229
knot,3.0.4,2021-01-20,2021-01,False,,3,229
knot,3.0.5,2021-03-25,2021-03,True,219,3,229
knot,2.9.9,2021-04-01,2021-04,True,227,3,229
knot,3.0.6,2021-05-12,2021-05,True,122,3,229
knot,3.0.7,2021-06-16,2021-06,True,162,3,229
knot,3.0.8,2021-07-16,2021-07,True,206,3,229
knot,3.1.0,2021-08-01,2021-08,True,258,3,229
knot,3.1.1,2021-08-10,2021-08,True,258,3,229
knot,3.1.2,2021-09-08,2021-09,True,235,3,229
knot,3.0.9,2021-09-09,2021-09,True,235,3,229
knot,3.1.3,2021-10-18,2021-10,True,292,3,229
knot,3.0.10,2021-11-04,2021-11,True,302,3,229
knot,3.1.4,2021-11-04,2021-11,True,302,3,229
knot,3.1.5,2021-12-20,2021-12,True,370,3,229
knot,3.1.6,2022-02-08,2022-02,True,278,3,229
knot,3.1.7,2022-03-30,2022-03,True,329,3,229
knot,3.0.11,2022-04-28,2022-04,True,378,3,229
knot,3.1.8,2022-04-28,2022-04,True,378,3,229
knot,3.1.9,2022-08-10,2022-08,True,180,3,229
knot,3.2.0,2022-08-22,2022-08,True,180,3,229
knot,3.2.1,2022-09-08,2022-09,True,236,3,229
knot,3.2.2,2022-11-01,2022-11,True,405,3,229
knot,3.2.3,2022-11-20,2022-11,True,405,3,229
knot,3.2.4,2022-12-12,2022-12,True,412,3,229
knot,3.2.5,2023-02-01,2023-02,True,296,3,229
knot,3.2.6,2023-04-04,2023-04,True,329,3,229
knot,3.2.7,2023-06-06,2023-06,True,253,3,229
knot,3.2.8,2023-06-26,2023-06,True,253,3,229
knot,3.2.9,2023-07-27,2023-07,True,219,3,229
knot,3.3.0,2023-08-28,2023-08,True,291,3,229
knot,3.2.10,2023-09-11,2023-09,True,296,3,229
knot,3.3.1,2023-09-11,2023-09,True,296,3,229
knot,3.3.2,2023-10-20,2023-10,True,389,3,229
knot,3.2.11,2023-10-30,2023-10,True,389,3,229
knot,3.3.3,2023-12-13,2023-12,True,339,3,229
knot,3.2.12,2023-12-19,2023-12,True,339,3,229
knot,3.3.4,2024-01-24,2024-01,True,251,3,229
knot,3.3.5,2024-03-06,2024-03,True,272,3,229
knot,3.3.6,2024-06-12,2024-06,True,445,3,229
knot,3.2.13,2024-06-25,2024-06,True,445,3,229
knot,3.3.7,2024-06-25,2024-06,True,445,3,229
knot,3.3.8,2024-07-22,2024-07,True,385,3,229
knot,3.3.9,2024-08-26,2024-08,True,344,3,229
knot,3.4.0,2024-09-02,2024-09,True,407,3,229
knot,3.4.1,2024-10-14,2024-10,True,493,3,229
knot,3.4.2,2024-10-31,2024-10,True,493,3,229
knot,3.4.3,2024-12-06,2024-12,True,367,3,229
knot,3.3.10,2024-12-12,2024-12,True,367,3,229
knot,3.4.4,2025-01-22,2025-01,True,370,3,229
knot,3.4.5,2025-03-18,2025-03,True,359,3,229
knot,3.4.6,2025-04-10,2025-04,True,260,3,229
knot,3.4.7,2025-06-04,2025-06,True,327,3,229
knot,3.4.8,2025-07-29,2025-07,True,354,3,229
knot,3.5.0,2025-09-18,2025-09,True,447,3,229
knot,3.5.1,2025-10-16,2025-10,True,477,3,229
knot,3.4.9,2025-11-28,2025-11,True,289,3,229
knot,3.5.2,2025-11-28,2025-11,True,289,3,229
knot,3.5.3,2026-01-16,2026-01,True,407,3,229
knot,3.4.10,2026-04-02,2026-04,True,324,3,229
knot,3.5.4,2026-04-02,2026-04,True,324,3,229
knot,3.5.5,2026-06-12,2026-06,True,437,3,229
knot,3.5.6,2026-07-20,2026-07,True,306,3,229
knot,3.4.11,2026-08-18,2026-08,True,142,3,229
knot,3.5.7,2026-08-18,2026-08,True,142,3,229
knot,3.5.8,2026-09-04,2026-09,False,,3,229
knot,3.6.0,2026-09-08,2026-09,False,,3,229
kresd,1.0.0,2016-05-30,2016-05,True,22,3,229
kresd,1.1.0,2016-08-11,2016-08,True,86,3,229
kresd,1.1.1,2016-08-24,2016-08,True,86,3,229
kresd,1.2.0,2017-01-25,2017-01,True,365,3,229
kresd,1.2.1,2017-02-01,2017-02,True,144,3,229
kresd,1.2.2,2017-02-10,2017-02,True,144,3,229
