n,rfc,basis,source,start,end,delta,level_before,level_after,share_before_pct,share_after_pct,months_after_rfc,nearest_validator_limit,nearest_cve,split_new_signings_at_most,split_rollovers_at_least,nearest_signer_release_what,nearest_signer_release_date,nearest_signer_release_lag_months,nearest_signer_release_detail,nearest_default_change_what,nearest_default_change_date,nearest_default_change_lag_months,nearest_default_change_detail,nearest_any_release_what,nearest_any_release_date,nearest_any_release_lag_months,nearest_cve_what,nearest_cve_date,nearest_cve_lag_months,nearest_default_change,nearest_validator_limit_what,nearest_validator_limit_date,nearest_validator_limit_lag_months,nearest_validator_limit_detail
11,RFC 5702,reverse,apnic,2018-11,2018-11,263,1425,1688,78.426,80.998,109,,,,,Knot DNS 2.0.0,2015-06-26,41,default signing algorithm -> RSASHA256,Knot DNS 2.0.0,2015-06-26,41.0,default signing algorithm -> RSASHA256,Knot Resolver 3.1.0,2018-11-02,0,,,,,,,,
12,RFC 5702,reverse,apnic,2019-01,2019-01,300,1688,1988,77.289,80.032,111,,,,,Knot DNS 2.0.0,2015-06-26,43,default signing algorithm -> RSASHA256,Knot DNS 2.0.0,2015-06-26,43.0,default signing algorithm -> RSASHA256,PowerDNS Auth 4.1.6,2019-01-04,0,,,,,,,,
13,RFC 5702,reverse,apnic,2019-05,2019-06,547,1984,2531,79.519,83.011,115,,,,,Knot DNS 2.0.0,2015-06-26,47,default signing algorithm -> RSASHA256,Knot DNS 2.0.0,2015-06-26,47.0,default signing algorithm -> RSASHA256,BIND 9 9.11.7,2019-05-10,0,,,,,,,,
14,RFC 5702,reverse,apnic,2019-12,2019-12,353,2531,2884,83.093,84.774,122,,,,,Knot DNS 2.0.0,2015-06-26,54,default signing algorithm -> RSASHA256,Knot DNS 2.0.0,2015-06-26,54.0,default signing algorithm -> RSASHA256,NSD 4.2.4,2019-12-03,0,,,,,,,,
15,RFC 5702,reverse,arin,2013-12,2013-12,39,87,126,38.496,47.547,50,,,,,OpenDNSSEC 1.2.0,2011-03-18,33,default signing algorithm -> 8 (RSASHA256),OpenDNSSEC 1.2.0,2011-03-18,33.0,default signing algorithm -> 8 (RSASHA256),OpenDNSSEC 1.3.16,2013-12-04,0,,,,,,,,
16,RFC 5702,reverse,arin,2014-08,2014-09,116,143,259,48.805,56.061,58,,,,,OpenDNSSEC 1.2.0,2011-03-18,41,default signing algorithm -> 8 (RSASHA256),OpenDNSSEC 1.2.0,2011-03-18,41.0,default signing algorithm -> 8 (RSASHA256),Knot DNS 1.5.1,2014-08-19,0,,,,,,,,
17,RFC 5702,reverse,arin,2016-09,2016-09,44,361,405,60.57,64.082,83,,,,,Knot DNS 2.0.0,2015-06-26,15,default signing algorithm -> RSASHA256,Knot DNS 2.0.0,2015-06-26,15.0,default signing algorithm -> RSASHA256,PowerDNS Auth 3.4.10,2016-09-01,0,,,,,,,,
18,RFC 5702,reverse,arin,2017-04,2017-04,46,367,413,54.13,57.044,90,,,,,Knot DNS 2.0.0,2015-06-26,22,default signing algorithm -> RSASHA256,Knot DNS 2.0.0,2015-06-26,22.0,default signing algorithm -> RSASHA256,Knot Resolver 1.2.5,2017-04-05,0,,,,,,,,
19,RFC 5702,reverse,arin,2019-05,2019-05,270,497,767,40.973,47.434,115,,,,,Knot DNS 2.0.0,2015-06-26,47,default signing algorithm -> RSASHA256,Knot DNS 2.0.0,2015-06-26,47.0,default signing algorithm -> RSASHA256,BIND 9 9.11.7,2019-05-10,0,,,,,,,,
20,RFC 5702,reverse,arin,2025-09,2025-09,127,1086,1213,21.215,22.771,191,,,,,Knot DNS 2.0.0,2015-06-26,123,default signing algorithm -> RSASHA256,Knot DNS 2.0.0,2015-06-26,123.0,default signing algorithm -> RSASHA256,NSD 4.13.0,2025-09-03,0,,,,,,,,
