event,kind,month,rfc,mechanism,products,series,measure,rate_at_month_pp,rate_window_pp_per_month,title,verdict
CVE-2022-38178,cve_patch,2022-09,RFC 6605/8080,algorithm,['bind9'],"forward signed share (7 TLDs, zone-weighted)",detrended,-0.2281,0.2798,,
RFC 8078,rfc_published,2017-03,,,,"forward signed share (7 TLDs, zone-weighted)",detrended,-0.0117,-0.5377,Managing DS Records from the Parent via CDS/CDNSKEY,measurable
RFC 8080,rfc_published,2017-02,,,,"forward signed share (7 TLDs, zone-weighted)",detrended,-0.2318,-0.3198,Edwards-Curve Digital Security Algorithm (EdDSA) for DNSSEC,measurable
RFC 8198,rfc_published,2017-07,,,,"forward signed share (7 TLDs, zone-weighted)",detrended,0.0117,-0.9341,Aggressive Use of DNSSEC-Validated Cache,not measurable here
RFC 8624,rfc_published,2019-06,,,,"forward signed share (7 TLDs, zone-weighted)",detrended,-0.0538,-0.033,Algorithm Implementation Requirements and Usage Guidance for DNSSEC,ambiguous only
RFC 9077,rfc_published,2021-07,,,,"forward signed share (7 TLDs, zone-weighted)",detrended,1.0816,2.6523,NSEC and NSEC3: TTLs and Aggressive Use,partly measurable
RFC 9276,rfc_published,2022-08,,,,"forward signed share (7 TLDs, zone-weighted)",detrended,-0.4241,-0.0107,Guidance for NSEC3 Parameter Settings,measurable
RFC 9364,rfc_published,2023-02,,,,"forward signed share (7 TLDs, zone-weighted)",detrended,0.151,-0.0445,DNS Security Extensions (DNSSEC),not measurable here
CVE-2021-40083,cve_patch,2021-10,RFC 5155,nsec3,['kresd'],NSEC3 forward,raw,1.7326,-0.6845,,
RFC 9276,rfc_published,2022-08,,,,NSEC3 forward,raw,-0.0035,-0.1531,Guidance for NSEC3 Parameter Settings,measurable
CVE-2021-40083,cve_patch,2021-10,RFC 5155,nsec3,['kresd'],NSEC3 forward,detrended,1.7118,-0.7223,,
RFC 9276,rfc_published,2022-08,,,,NSEC3 forward,detrended,-0.2218,-0.3388,Guidance for NSEC3 Parameter Settings,measurable
CVE-2021-40083,cve_patch,2021-10,RFC 5155,nsec3,['kresd'],NSEC3 reverse panel,raw,-0.219,-0.8745,,
CVE-2023-50868,cve_patch,2024-02,RFC 5155,nsec3,"['bind9', 'kresd', 'pdns-auth', 'pdns-rec', 'unbound']",NSEC3 reverse panel,raw,-0.027,-0.0905,,
CVE-2026-10723,cve_patch,2026-07,RFC 5155,nsec3,['bind9'],NSEC3 reverse panel,raw,-0.087,-0.1395,,
CVE-2026-13204,cve_patch,2026-07,RFC 5155,nsec3,['bind9'],NSEC3 reverse panel,raw,-0.087,-0.1395,,
CVE-2026-33278,cve_patch,2026-07,RFC 5155,nsec3,['unbound'],NSEC3 reverse panel,raw,-0.087,-0.1395,,
CVE-2026-42923,cve_patch,2026-05,RFC 5155,nsec3,['unbound'],NSEC3 reverse panel,raw,-0.099,-0.1357,,
RFC 9276,rfc_published,2022-08,,,,NSEC3 reverse panel,raw,0.065,-0.561,Guidance for NSEC3 Parameter Settings,measurable
CVE-2021-40083,cve_patch,2021-10,RFC 5155,nsec3,['kresd'],NSEC3 reverse panel,detrended,0.041,-0.6035,,
CVE-2023-50868,cve_patch,2024-02,RFC 5155,nsec3,"['bind9', 'kresd', 'pdns-auth', 'pdns-rec', 'unbound']",NSEC3 reverse panel,detrended,0.11,0.0465,,
CVE-2026-10723,cve_patch,2026-07,RFC 5155,nsec3,['bind9'],NSEC3 reverse panel,detrended,0.0185,-0.0308,,
CVE-2026-13204,cve_patch,2026-07,RFC 5155,nsec3,['bind9'],NSEC3 reverse panel,detrended,0.0185,-0.0308,,
CVE-2026-33278,cve_patch,2026-07,RFC 5155,nsec3,['unbound'],NSEC3 reverse panel,detrended,0.0185,-0.0308,,
CVE-2026-42923,cve_patch,2026-05,RFC 5155,nsec3,['unbound'],NSEC3 reverse panel,detrended,-0.004,-0.0329,,
RFC 9276,rfc_published,2022-08,,,,NSEC3 reverse panel,detrended,0.272,-0.3807,Guidance for NSEC3 Parameter Settings,measurable
CVE-2022-38177,cve_patch,2022-09,RFC 6605/8080,algorithm,['bind9'],ECDSA/EdDSA forward,raw,0.0543,0.2881,,
CVE-2022-38178,cve_patch,2022-09,RFC 6605/8080,algorithm,['bind9'],ECDSA/EdDSA forward,raw,0.0543,0.2881,,
RFC 8080,rfc_published,2017-02,,,,ECDSA/EdDSA forward,raw,0.0351,0.5359,Edwards-Curve Digital Security Algorithm (EdDSA) for DNSSEC,measurable
CVE-2022-38177,cve_patch,2022-09,RFC 6605/8080,algorithm,['bind9'],ECDSA/EdDSA forward,detrended,-0.0343,0.2447,,
CVE-2022-38178,cve_patch,2022-09,RFC 6605/8080,algorithm,['bind9'],ECDSA/EdDSA forward,detrended,-0.0343,0.2447,,
RFC 8080,rfc_published,2017-02,,,,ECDSA/EdDSA forward,detrended,0.0328,0.5343,Edwards-Curve Digital Security Algorithm (EdDSA) for DNSSEC,measurable
CVE-2022-38177,cve_patch,2022-09,RFC 6605/8080,algorithm,['bind9'],ECDSA/EdDSA reverse panel,raw,0.774,1.6058,,
CVE-2022-38178,cve_patch,2022-09,RFC 6605/8080,algorithm,['bind9'],ECDSA/EdDSA reverse panel,raw,0.774,1.6058,,
RFC 6605,rfc_published,2012-04,,,,ECDSA/EdDSA reverse panel,raw,0.0,0.0,Elliptic Curve Digital Signature Algorithm (DSA) for DNSSEC,measurable
RFC 8080,rfc_published,2017-02,,,,ECDSA/EdDSA reverse panel,raw,-0.036,0.0035,Edwards-Curve Digital Security Algorithm (EdDSA) for DNSSEC,measurable
